[2025-04-17 18:23:55] CPU: 0.0% | Mem: 8.4% | Net Sent: 76733261329 B | Net Recv: 103423091420 B
[2025-04-17 18:24:01] CPU: 0.0% | Mem: 8.5% | Net Sent: 76733367784 B | Net Recv: 103423215239 B
[2025-04-17 18:24:07] CPU: 0.0% | Mem: 8.4% | Net Sent: 76733476784 B | Net Recv: 103423342088 B
[2025-04-17 18:24:13] CPU: 0.0% | Mem: 8.5% | Net Sent: 76733584107 B | Net Recv: 103423467135 B
[2025-04-17 18:24:19] CPU: 0.1% | Mem: 8.5% | Net Sent: 76733793278 B | Net Recv: 103423688966 B
[2025-04-17 18:24:25] CPU: 0.0% | Mem: 8.5% | Net Sent: 76733904634 B | Net Recv: 103423819104 B
[2025-04-17 18:24:31] CPU: 0.0% | Mem: 8.5% | Net Sent: 76734010911 B | Net Recv: 103423942219 B
[2025-04-17 18:24:37] CPU: 0.0% | Mem: 8.5% | Net Sent: 76734119478 B | Net Recv: 103424068305 B
[2025-04-17 18:24:43] CPU: 0.0% | Mem: 8.5% | Net Sent: 76734228487 B | Net Recv: 103424195158 B
[2025-04-17 18:24:49] CPU: 0.1% | Mem: 8.5% | Net Sent: 76734438296 B | Net Recv: 103424420177 B
[2025-04-17 18:24:55] CPU: 0.0% | Mem: 8.5% | Net Sent: 76734572018 B | Net Recv: 103424571785 B
[2025-04-17 18:25:01] CPU: 0.0% | Mem: 8.5% | Net Sent: 76734677776 B | Net Recv: 103424694435 B
[2025-04-17 18:25:07] CPU: 0.0% | Mem: 8.5% | Net Sent: 76734785882 B | Net Recv: 103424819844 B
[2025-04-17 18:25:13] CPU: 0.0% | Mem: 8.5% | Net Sent: 76734894572 B | Net Recv: 103424946178 B
[2025-04-17 18:25:19] CPU: 0.1% | Mem: 8.5% | Net Sent: 76735103345 B | Net Recv: 103425167581 B
[2025-04-17 18:25:25] CPU: 0.0% | Mem: 8.5% | Net Sent: 76735214831 B | Net Recv: 103425298381 B
[2025-04-17 18:25:31] CPU: 0.0% | Mem: 8.5% | Net Sent: 76735321605 B | Net Recv: 103425421885 B
[2025-04-17 18:25:37] CPU: 0.0% | Mem: 8.6% | Net Sent: 76735506630 B | Net Recv: 103443840124 B
[2025-04-17 18:25:43] CPU: 0.0% | Mem: 8.9% | Net Sent: 76736576606 B | Net Recv: 103589441545 B
[2025-04-17 18:25:49] CPU: 0.1% | Mem: 9.0% | Net Sent: 76737009519 B | Net Recv: 103615928147 B
[2025-04-17 18:25:55] CPU: 0.0% | Mem: 10.0% | Net Sent: 76740109795 B | Net Recv: 103983057462 B
[2025-04-17 18:26:01] CPU: 0.2% | Mem: 11.8% | Net Sent: 76741944465 B | Net Recv: 104351272743 B
[2025-04-17 18:26:07] CPU: 0.0% | Mem: 11.0% | Net Sent: 76742075187 B | Net Recv: 104351419704 B
[2025-04-17 18:26:13] CPU: 0.0% | Mem: 12.1% | Net Sent: 76742962531 B | Net Recv: 104744366191 B
[2025-04-17 18:26:19] CPU: 0.1% | Mem: 13.1% | Net Sent: 76745366110 B | Net Recv: 105111872415 B
[2025-04-17 18:26:25] CPU: 0.3% | Mem: 14.6% | Net Sent: 76745882231 B | Net Recv: 105481852643 B
[2025-04-17 18:26:31] CPU: 0.0% | Mem: 14.0% | Net Sent: 76745988587 B | Net Recv: 105481980237 B
[2025-04-17 18:26:37] CPU: 0.0% | Mem: 15.1% | Net Sent: 76749967205 B | Net Recv: 105871521611 B
[2025-04-17 18:26:43] CPU: 0.0% | Mem: 15.1% | Net Sent: 76750081314 B | Net Recv: 105872325004 B
[2025-04-17 18:26:49] CPU: 0.1% | Mem: 16.1% | Net Sent: 76753371123 B | Net Recv: 106239458982 B
[2025-04-17 18:26:55] CPU: 0.2% | Mem: 17.1% | Net Sent: 76756278909 B | Net Recv: 106606459445 B
[2025-04-17 18:27:01] CPU: 0.0% | Mem: 17.4% | Net Sent: 76756386642 B | Net Recv: 106606948031 B
[2025-04-17 18:27:07] CPU: 0.0% | Mem: 18.2% | Net Sent: 76759843888 B | Net Recv: 106996827154 B
[2025-04-17 18:27:13] CPU: 0.0% | Mem: 19.1% | Net Sent: 76761702424 B | Net Recv: 107365168287 B
[2025-04-17 18:27:19] CPU: 0.3% | Mem: 20.1% | Net Sent: 76765229229 B | Net Recv: 107697149373 B
[2025-04-17 18:27:25] CPU: 0.0% | Mem: 20.1% | Net Sent: 76765628781 B | Net Recv: 107732394751 B
[2025-04-17 18:27:31] CPU: 0.2% | Mem: 21.1% | Net Sent: 76769179833 B | Net Recv: 108104814403 B
[2025-04-17 18:27:37] CPU: 0.0% | Mem: 21.2% | Net Sent: 76769384583 B | Net Recv: 108122836337 B
[2025-04-17 18:27:43] CPU: 0.0% | Mem: 22.1% | Net Sent: 76772034848 B | Net Recv: 108490044547 B
[2025-04-17 18:27:49] CPU: 0.3% | Mem: 23.1% | Net Sent: 76775104541 B | Net Recv: 108857283601 B
[2025-04-17 18:27:55] CPU: 0.1% | Mem: 23.8% | Net Sent: 76775214481 B | Net Recv: 108857808082 B
[2025-04-17 18:28:01] CPU: 0.0% | Mem: 24.2% | Net Sent: 76778193464 B | Net Recv: 109247901761 B
[2025-04-17 18:28:07] CPU: 0.1% | Mem: 25.2% | Net Sent: 76781195559 B | Net Recv: 109615137602 B
[2025-04-17 18:28:13] CPU: 0.0% | Mem: 25.2% | Net Sent: 76781301542 B | Net Recv: 109615262737 B
[2025-04-17 18:28:19] CPU: 0.3% | Mem: 26.9% | Net Sent: 76785362659 B | Net Recv: 109982309269 B
[2025-04-17 18:28:25] CPU: 0.0% | Mem: 26.2% | Net Sent: 76785470486 B | Net Recv: 109982435616 B
[2025-04-17 18:28:31] CPU: 0.0% | Mem: 27.3% | Net Sent: 76788284231 B | Net Recv: 110372994028 B
[2025-04-17 18:28:37] CPU: 0.2% | Mem: 28.2% | Net Sent: 76790902651 B | Net Recv: 110740241178 B
[2025-04-17 18:28:43] CPU: 0.0% | Mem: 28.5% | Net Sent: 76791010415 B | Net Recv: 110740733639 B
[2025-04-17 18:28:49] CPU: 0.1% | Mem: 29.2% | Net Sent: 76793784189 B | Net Recv: 111107725127 B
[2025-04-17 18:28:55] CPU: 0.0% | Mem: 30.3% | Net Sent: 76796455580 B | Net Recv: 111498290261 B
[2025-04-17 18:29:01] CPU: 0.0% | Mem: 30.3% | Net Sent: 76796566027 B | Net Recv: 111498418888 B
[2025-04-17 18:29:07] CPU: 0.0% | Mem: 31.3% | Net Sent: 76800710900 B | Net Recv: 111865363031 B
[2025-04-17 18:29:13] CPU: 0.1% | Mem: 31.8% | Net Sent: 76800818649 B | Net Recv: 111865898109 B
[2025-04-17 18:29:19] CPU: 0.1% | Mem: 32.3% | Net Sent: 76804344916 B | Net Recv: 112232543998 B
