[2025-04-17 18:24:12] CPU: 1.2% | Mem: 15.0% | Net Sent: 65092564948 B | Net Recv: 109345944246 B
[2025-04-17 18:24:18] CPU: 1.0% | Mem: 14.9% | Net Sent: 65092672807 B | Net Recv: 109346069817 B
[2025-04-17 18:24:24] CPU: 0.6% | Mem: 15.2% | Net Sent: 65092960657 B | Net Recv: 109353122241 B
[2025-04-17 18:24:30] CPU: 1.0% | Mem: 14.9% | Net Sent: 65093180723 B | Net Recv: 109353355047 B
[2025-04-17 18:24:36] CPU: 1.0% | Mem: 14.8% | Net Sent: 65093287237 B | Net Recv: 109353478782 B
[2025-04-17 18:24:42] CPU: 1.1% | Mem: 15.0% | Net Sent: 65093396855 B | Net Recv: 109353606053 B
[2025-04-17 18:24:48] CPU: 1.1% | Mem: 14.9% | Net Sent: 65093505926 B | Net Recv: 109353735352 B
[2025-04-17 18:24:54] CPU: 1.2% | Mem: 15.1% | Net Sent: 65093728417 B | Net Recv: 109353975935 B
[2025-04-17 18:25:00] CPU: 1.9% | Mem: 15.6% | Net Sent: 65093842353 B | Net Recv: 109354102855 B
[2025-04-17 18:25:06] CPU: 1.7% | Mem: 15.7% | Net Sent: 65093949005 B | Net Recv: 109354226708 B
[2025-04-17 18:25:12] CPU: 1.4% | Mem: 15.7% | Net Sent: 65094057876 B | Net Recv: 109354352898 B
[2025-04-17 18:25:18] CPU: 1.4% | Mem: 16.0% | Net Sent: 65094166150 B | Net Recv: 109354478758 B
[2025-04-17 18:25:24] CPU: 1.3% | Mem: 15.6% | Net Sent: 65094375258 B | Net Recv: 109354706750 B
[2025-04-17 18:25:30] CPU: 1.3% | Mem: 15.8% | Net Sent: 65094488293 B | Net Recv: 109354832627 B
[2025-04-17 18:25:36] CPU: 1.2% | Mem: 15.5% | Net Sent: 65094594767 B | Net Recv: 109354956224 B
[2025-04-17 18:25:42] CPU: 0.8% | Mem: 15.7% | Net Sent: 66400532324 B | Net Recv: 109355749096 B
