[2025-04-17 18:18:49] CPU: 0.2% | Mem: 8.3% | Net Sent: 55712536191 B | Net Recv: 74290219082 B
[2025-04-17 18:18:55] CPU: 0.0% | Mem: 8.3% | Net Sent: 55712663137 B | Net Recv: 74290363472 B
[2025-04-17 18:19:01] CPU: 0.0% | Mem: 8.3% | Net Sent: 55712770009 B | Net Recv: 74290487390 B
[2025-04-17 18:19:07] CPU: 0.0% | Mem: 8.3% | Net Sent: 55712893286 B | Net Recv: 74291072366 B
[2025-04-17 18:19:13] CPU: 0.0% | Mem: 8.3% | Net Sent: 55712999461 B | Net Recv: 74291195739 B
[2025-04-17 18:19:19] CPU: 0.1% | Mem: 8.3% | Net Sent: 55713208912 B | Net Recv: 74291418362 B
[2025-04-17 18:19:25] CPU: 0.0% | Mem: 8.3% | Net Sent: 55713320292 B | Net Recv: 74291548820 B
[2025-04-17 18:19:31] CPU: 0.0% | Mem: 8.3% | Net Sent: 55713427314 B | Net Recv: 74291672996 B
[2025-04-17 18:19:37] CPU: 0.0% | Mem: 8.3% | Net Sent: 55713535467 B | Net Recv: 74291798026 B
[2025-04-17 18:19:43] CPU: 0.0% | Mem: 8.3% | Net Sent: 55713641832 B | Net Recv: 74291921907 B
[2025-04-17 18:19:49] CPU: 0.1% | Mem: 8.4% | Net Sent: 55714037313 B | Net Recv: 74299716866 B
[2025-04-17 18:19:55] CPU: 0.0% | Mem: 8.4% | Net Sent: 55714156086 B | Net Recv: 74299854321 B
[2025-04-17 18:20:01] CPU: 0.0% | Mem: 8.4% | Net Sent: 55714263234 B | Net Recv: 74299978557 B
[2025-04-17 18:20:07] CPU: 0.0% | Mem: 8.4% | Net Sent: 55714387985 B | Net Recv: 74300120187 B
[2025-04-17 18:20:13] CPU: 0.0% | Mem: 8.4% | Net Sent: 55714494270 B | Net Recv: 74300243652 B
[2025-04-17 18:20:19] CPU: 0.1% | Mem: 8.4% | Net Sent: 55714703874 B | Net Recv: 74300466180 B
[2025-04-17 18:20:25] CPU: 0.0% | Mem: 8.4% | Net Sent: 55714837040 B | Net Recv: 74301509952 B
[2025-04-17 18:20:31] CPU: 0.0% | Mem: 8.4% | Net Sent: 55714944224 B | Net Recv: 74301634698 B
[2025-04-17 18:20:37] CPU: 0.0% | Mem: 8.4% | Net Sent: 55715053935 B | Net Recv: 74301763460 B
[2025-04-17 18:20:43] CPU: 0.0% | Mem: 8.4% | Net Sent: 55715159871 B | Net Recv: 74301886450 B
[2025-04-17 18:20:49] CPU: 0.1% | Mem: 8.4% | Net Sent: 55715369079 B | Net Recv: 74302108552 B
[2025-04-17 18:20:56] CPU: 0.0% | Mem: 8.4% | Net Sent: 55715478885 B | Net Recv: 74302236618 B
[2025-04-17 18:21:02] CPU: 0.0% | Mem: 8.4% | Net Sent: 55715586242 B | Net Recv: 74302361159 B
[2025-04-17 18:21:08] CPU: 0.0% | Mem: 8.4% | Net Sent: 55715704753 B | Net Recv: 74302496891 B
[2025-04-17 18:21:14] CPU: 0.0% | Mem: 8.4% | Net Sent: 55715828083 B | Net Recv: 74302636765 B
[2025-04-17 18:21:20] CPU: 0.1% | Mem: 8.4% | Net Sent: 55716037246 B | Net Recv: 74302859244 B
[2025-04-17 18:21:26] CPU: 0.0% | Mem: 8.4% | Net Sent: 55716147530 B | Net Recv: 74302990964 B
[2025-04-17 18:21:32] CPU: 0.0% | Mem: 8.4% | Net Sent: 55716255190 B | Net Recv: 74303116016 B
[2025-04-17 18:21:38] CPU: 0.0% | Mem: 8.4% | Net Sent: 55716363336 B | Net Recv: 74303241609 B
[2025-04-17 18:21:44] CPU: 0.0% | Mem: 8.4% | Net Sent: 55716471052 B | Net Recv: 74303366997 B
[2025-04-17 18:21:50] CPU: 0.1% | Mem: 8.4% | Net Sent: 55716682440 B | Net Recv: 74303591603 B
[2025-04-17 18:21:56] CPU: 0.0% | Mem: 8.4% | Net Sent: 55716791079 B | Net Recv: 74303719236 B
[2025-04-17 18:22:02] CPU: 0.0% | Mem: 8.4% | Net Sent: 55716898185 B | Net Recv: 74303843580 B
[2025-04-17 18:22:08] CPU: 0.0% | Mem: 8.4% | Net Sent: 55717005291 B | Net Recv: 74303967803 B
